code,code_nm,market,risk_prob,risk_grade,std_date
A130580,나이스디앤비,KOSDAQ,0.7273566877107494,8,2022-09-09
A068240,다원시스,KOSDAQ,0.7236225867677291,8,2022-09-09
A175140,인포마크,KOSDAQ,0.7228129176975117,8,2022-09-09
A263690,디알젬,KOSDAQ,0.7166757883194393,8,2022-09-09
A108380,대양전기공업,KOSDAQ,0.7165789690458553,8,2022-09-09
A333430,일승,KOSDAQ,0.7161095996893767,8,2022-09-09
A182360,큐브엔터,KOSDAQ,0.7160006252310902,8,2022-09-09
A340440,세림B&G,KOSDAQ,0.7142469458105627,8,2022-09-09
A008290,원풍물산,KOSDAQ,0.7123502911467317,8,2022-09-09
A043710,서울리거,KOSDAQ,0.7060983313673145,8,2022-09-09
A310870,디와이씨,KOSDAQ,0.6999614686347695,8,2022-09-09
A168330,내츄럴엔도텍,KOSDAQ,0.699948100064916,8,2022-09-09
A049070,인탑스,KOSDAQ,0.6899811509836115,8,2022-09-09
A273060,와이즈버즈,KOSDAQ,0.6887795016539465,8,2022-09-09
A126640,화신정공,KOSDAQ,0.6853421058777135,8,2022-09-09
A058610,에스피지,KOSDAQ,0.6843789570003548,8,2022-09-09
A033320,제이씨현시스템,KOSDAQ,0.681462681299729,8,2022-09-09
A013030,하이록코리아,KOSDAQ,0.6806025083236581,8,2022-09-09
A023760,한국캐피탈,KOSDAQ,0.6798129388827091,8,2022-09-09
A276730,제주맥주,KOSDAQ,0.6769230983845712,8,2022-09-09
A305090,마이크로디지탈,KOSDAQ,0.6759276966418729,8,2022-09-09
A043340,에쎈테크,KOSDAQ,0.6725697341516004,8,2022-09-09
A308080,바이젠셀,KOSDAQ,0.6713900325706331,8,2022-09-09
A369370,블리츠웨이,KOSDAQ,0.6713900035373875,8,2022-09-09
A309930,오하임아이엔티,KOSDAQ,0.6684388597728493,8,2022-09-09
A234690,녹십자웰빙,KOSDAQ,0.6672982464834185,8,2022-09-09
A310200,애니플러스,KOSDAQ,0.6671813275293361,8,2022-09-09
A297090,씨에스베어링,KOSDAQ,0.664101534071414,8,2022-09-09
A019590,엠벤처투자,KOSDAQ,0.6590239768121148,8,2022-09-09
A053450,세코닉스,KOSDAQ,0.6571043267044799,8,2022-09-09
A000440,중앙에너비스,KOSDAQ,0.6571021623516826,8,2022-09-09
A064760,티씨케이,KOSDAQ,0.6551006287312137,8,2022-09-09
A110020,전진바이오팜,KOSDAQ,0.6512681466555442,8,2022-09-09
A093320,케이아이엔엑스,KOSDAQ,0.6502830419643455,8,2022-09-09
A376980,원티드랩,KOSDAQ,0.6428184839639935,8,2022-09-09
A195940,HK이노엔,KOSDAQ,0.6428176025959822,8,2022-09-09
A315640,딥노이드,KOSDAQ,0.6428034208033068,8,2022-09-09
A365270,큐라클,KOSDAQ,0.640567905945488,8,2022-09-09
A067900,와이엔텍,KOSDAQ,0.6401814001777218,8,2022-09-09
A321260,프로이천,KOSDAQ,0.6399510898959083,8,2022-09-09
A090710,휴림로봇,KOSDAQ,0.6351229850422657,8,2022-09-09
A270870,뉴트리,KOSDAQ,0.6331035681225357,8,2022-09-09
A104540,코렌텍,KOSDAQ,0.6321551188973863,8,2022-09-09
A060850,영림원소프트랩,KOSDAQ,0.6295635790878282,8,2022-09-09
A367000,플래티어,KOSDAQ,0.6285325363433787,8,2022-09-09
A060150,인선이엔티,KOSDAQ,0.6282733510022912,8,2022-09-09
A033830,티비씨,KOSDAQ,0.6282133152816805,8,2022-09-09
A024950,삼천리자전거,KOSDAQ,0.627934365623543,8,2022-09-09
A066790,씨씨에스,KOSDAQ,0.6259835067138866,8,2022-09-09
A089150,케이씨티,KOSDAQ,0.6241703634522277,8,2022-09-09
A071460,위니아,KOSDAQ,0.6221167297578862,8,2022-09-09
A322180,티라유텍,KOSDAQ,0.6212450848165846,8,2022-09-09
A147830,제룡산업,KOSDAQ,0.6173319090716081,8,2022-09-09
A086670,비엠티,KOSDAQ,0.6161626218494031,8,2022-09-09
A083660,CSA 코스믹,KOSDAQ,0.6143545172008055,8,2022-09-09
A377030,맥스트,KOSDAQ,0.6142462567482274,8,2022-09-09
A101160,월덱스,KOSDAQ,0.6136966477171587,8,2022-09-09
A050090,비케이홀딩스,KOSDAQ,0.6124499972688924,8,2022-09-09
A351320,에스에이티이엔지,KOSDAQ,0.6120366122211222,8,2022-09-09
A238090,앤디포스,KOSDAQ,0.6095623997665435,8,2022-09-09
A002680,한탑,KOSDAQ,0.6052883347816327,8,2022-09-09
A253590,네오셈,KOSDAQ,0.5993152018821839,8,2022-09-09
A039310,세중,KOSDAQ,0.598594458529442,8,2022-09-09
A227950,엔투텍,KOSDAQ,0.5963938986366351,8,2022-09-09
A023900,풍국주정,KOSDAQ,0.5959169458212425,8,2022-09-09
