code,code_nm,market,risk_prob,risk_grade,std_date
A015860,일진홀딩스,KOSPI,0.5246071237562158,8,2022-09-09
A004270,남성,KOSPI,0.5194791789371583,8,2022-09-09
A042660,대우조선해양,KOSPI,0.5175211386764326,8,2022-09-09
A002870,신풍제지,KOSPI,0.513633863800201,8,2022-09-09
A003230,삼양식품,KOSPI,0.5126268857997993,8,2022-09-09
A004980,성신양회,KOSPI,0.5064845198751982,8,2022-09-09
A016740,두올,KOSPI,0.5027600253605636,8,2022-09-09
A005390,신성통상,KOSPI,0.4951405942083675,8,2022-09-09
A003650,미창석유,KOSPI,0.4890747963333491,8,2022-09-09
A326030,SK바이오팜,KOSPI,0.47727059885212897,8,2022-09-09
A001420,태원물산,KOSPI,0.4736686947922656,8,2022-09-09
A020560,아시아나항공,KOSPI,0.46557614618047,8,2022-09-09
A100220,비상교육,KOSPI,0.4645295321520994,8,2022-09-09
A018260,삼성에스디에스,KOSPI,0.4636083562342729,8,2022-09-09
A009540,한국조선해양,KOSPI,0.4610513948585822,8,2022-09-09
A003120,일성신약,KOSPI,0.44581990995151377,8,2022-09-09
A000850,화천기공,KOSPI,0.44100983234729113,7,2022-09-09
A002810,삼영무역,KOSPI,0.44100590811942936,7,2022-09-09
A000180,성창기업지주,KOSPI,0.43572735691809766,7,2022-09-09
A002170,삼양통상,KOSPI,0.4328173133305989,7,2022-09-09
A075580,세진중공업,KOSPI,0.43042952949152996,7,2022-09-09
A010960,삼호개발,KOSPI,0.4276427374227182,7,2022-09-09
A023800,인지컨트롤스,KOSPI,0.4210044245139601,7,2022-09-09
A000700,유수홀딩스,KOSPI,0.40942525924195305,7,2022-09-09
A002310,아세아제지,KOSPI,0.40713909621208966,7,2022-09-09
A064960,SNT모티브,KOSPI,0.40234553246439386,7,2022-09-09
A016880,웅진,KOSPI,0.4017708792954002,7,2022-09-09
A001560,제일연마,KOSPI,0.40095232530888036,7,2022-09-09
A019680,대교,KOSPI,0.39762797793503013,7,2022-09-09
A023150,MH에탄올,KOSPI,0.39715526140971374,7,2022-09-09
A009680,모토닉,KOSPI,0.3964381035935434,7,2022-09-09
A014530,극동유화,KOSPI,0.39211105015235076,7,2022-09-09
A005380,현대차,KOSPI,0.38352587986204495,7,2022-09-09
A021050,서원,KOSPI,0.38097605823726743,7,2022-09-09
A339770,교촌에프앤비,KOSPI,0.3808201423340841,7,2022-09-09
A005870,휴니드,KOSPI,0.37942053782673174,7,2022-09-09
A023530,롯데쇼핑,KOSPI,0.3783348112695309,7,2022-09-09
A074610,이엔플러스,KOSPI,0.378155699310689,7,2022-09-09
A032830,삼성생명,KOSPI,0.3774590624604574,7,2022-09-09
A005690,파미셀,KOSPI,0.3749705114494441,7,2022-09-09
A115390,락앤락,KOSPI,0.3706691787819963,7,2022-09-09
A129260,인터지스,KOSPI,0.368192606239734,7,2022-09-09
A102460,이연제약,KOSPI,0.36511977822463176,7,2022-09-09
A009410,태영건설,KOSPI,0.3634038570499102,7,2022-09-09
A018500,동원금속,KOSPI,0.3596530301682999,7,2022-09-09
A001630,종근당홀딩스,KOSPI,0.3580394445479356,7,2022-09-09
A006890,태경케미컬,KOSPI,0.35248467155647256,7,2022-09-09
A014130,한익스프레스,KOSPI,0.34867875173447993,7,2022-09-09
A180640,한진칼,KOSPI,0.34163295128868765,7,2022-09-09
A082740,HSD엔진,KOSPI,0.33822342932349636,7,2022-09-09
A025560,미래산업,KOSPI,0.333230596333704,7,2022-09-09
A004140,동방,KOSPI,0.33095151018197955,7,2022-09-09
A000240,한국앤컴퍼니,KOSPI,0.32743602622487966,7,2022-09-09
A244920,에이플러스에셋,KOSPI,0.3250799473942129,7,2022-09-09
A014990,인디에프,KOSPI,0.3243893509165917,7,2022-09-09
A036580,팜스코,KOSPI,0.32262896889119774,7,2022-09-09
A001210,금호전기,KOSPI,0.32160137235297964,7,2022-09-09
A016800,퍼시스,KOSPI,0.31871684848110904,7,2022-09-09
A030000,제일기획,KOSPI,0.31799465521622067,7,2022-09-09
A002820,SUN&L,KOSPI,0.3177738157925724,7,2022-09-09
A200880,서연이화,KOSPI,0.3171151048849196,7,2022-09-09
A293480,하나제약,KOSPI,0.3170263737517018,7,2022-09-09
A071950,코아스,KOSPI,0.31320915602872273,7,2022-09-09
A000300,대유플러스,KOSPI,0.31295570136027007,7,2022-09-09
A004920,씨아이테크,KOSPI,0.3124557037350798,7,2022-09-09
A004830,덕성,KOSPI,0.31184345687684434,7,2022-09-09
A013870,지엠비코리아,KOSPI,0.3118358666735027,7,2022-09-09
A001140,국보,KOSPI,0.3117778234631506,7,2022-09-09
A039490,키움증권,KOSPI,0.30388991150473676,7,2022-09-09
A028260,삼성물산,KOSPI,0.3037743442379349,7,2022-09-09
A015260,에이엔피,KOSPI,0.29757141184314356,7,2022-09-09
A004440,삼일씨엔에스,KOSPI,0.288374960167809,7,2022-09-09
A002150,도화엔지니어링,KOSPI,0.288345483128195,7,2022-09-09
A107590,미원홀딩스,KOSPI,0.2881221058397892,7,2022-09-09
A010400,우진아이엔에스,KOSPI,0.28442937422755105,7,2022-09-09
A029460,케이씨,KOSPI,0.2830587243117798,7,2022-09-09
A006880,신송홀딩스,KOSPI,0.2825411177979012,7,2022-09-09
A316140,우리금융지주,KOSPI,0.28238647672742195,7,2022-09-09
A016450,한세예스24홀딩스,KOSPI,0.27885578515941584,7,2022-09-09
A071840,롯데하이마트,KOSPI,0.26950894726086455,7,2022-09-09
A008600,윌비스,KOSPI,0.26920342614626824,7,2022-09-09
A000210,DL,KOSPI,0.26917736794960445,7,2022-09-09
A229640,LS전선아시아,KOSPI,0.2677509677252287,7,2022-09-09
A298040,효성중공업,KOSPI,0.2676811525786077,7,2022-09-09
A120030,조선선재,KOSPI,0.2658225215544431,7,2022-09-09
A004080,신흥,KOSPI,0.25927330788248865,7,2022-09-09
A003920,남양유업,KOSPI,0.2576203270211684,7,2022-09-09
A035000,지투알,KOSPI,0.2573409760702931,7,2022-09-09
A003200,일신방직,KOSPI,0.25377821636450615,7,2022-09-09
A078930,GS,KOSPI,0.2534330816784002,7,2022-09-09
A264900,크라운제과,KOSPI,0.2525458060901095,7,2022-09-09
A000860,강남제비스코,KOSPI,0.25190816911333613,7,2022-09-09
A014820,동원시스템즈,KOSPI,0.2505312044836306,7,2022-09-09
A014790,한라,KOSPI,0.24758128760573458,7,2022-09-09
A092230,KPX홀딩스,KOSPI,0.24649637031124622,7,2022-09-09
A013890,지누스,KOSPI,0.24385115901808274,7,2022-09-09
A001390,KG케미칼,KOSPI,0.24342423279000608,7,2022-09-09
A011070,LG이노텍,KOSPI,0.2409667217977929,7,2022-09-09
A094280,효성ITX,KOSPI,0.24092456263663747,7,2022-09-09
A013580,계룡건설,KOSPI,0.2375675930098747,7,2022-09-09
A004690,삼천리,KOSPI,0.23584498333957066,7,2022-09-09
A002390,한독,KOSPI,0.23481161371158624,7,2022-09-09
A058430,포스코스틸리온,KOSPI,0.2345587373715763,7,2022-09-09
A012610,경인양행,KOSPI,0.2324258309664527,7,2022-09-09
A013700,까뮤이앤씨,KOSPI,0.2296804479969161,7,2022-09-09
A004370,농심,KOSPI,0.22796532583775284,7,2022-09-09
A100250,진양홀딩스,KOSPI,0.22377906802448735,7,2022-09-09
A015760,한국전력,KOSPI,0.22350314759318365,7,2022-09-09
A003160,디아이,KOSPI,0.22235931704970607,7,2022-09-09
A067830,세이브존I&C,KOSPI,0.22187876813464458,7,2022-09-09
A004310,현대약품,KOSPI,0.22105733292037044,7,2022-09-09
A003520,영진약품,KOSPI,0.220341777663634,6,2022-09-09
A096760,JW홀딩스,KOSPI,0.21727817518424458,6,2022-09-09
A008110,대동전자,KOSPI,0.2167006935828275,6,2022-09-09
A004430,송원산업,KOSPI,0.21544500457678373,6,2022-09-09
A051900,LG생활건강,KOSPI,0.21486699797985337,6,2022-09-09
A029530,신도리코,KOSPI,0.21476750948394904,6,2022-09-09
A014910,성문전자,KOSPI,0.21330992362289394,6,2022-09-09
A002320,한진,KOSPI,0.21314068059771987,6,2022-09-09
A015020,이스타코,KOSPI,0.2110487127034259,6,2022-09-09
A001550,조비,KOSPI,0.2080646639019899,6,2022-09-09
A071320,지역난방공사,KOSPI,0.2075281916782243,6,2022-09-09
A030200,KT,KOSPI,0.20361127852123634,6,2022-09-09
A000890,보해양조,KOSPI,0.1965439968359463,6,2022-09-09
A030720,동원수산,KOSPI,0.19162437576386535,6,2022-09-09
A020000,한섬,KOSPI,0.18651651368937522,6,2022-09-09
A016380,KG스틸,KOSPI,0.18265198814021458,6,2022-09-09
A009180,한솔로지스틱스,KOSPI,0.1759339137286502,6,2022-09-09
A003550,LG,KOSPI,0.172910351639775,6,2022-09-09
A006660,삼성공조,KOSPI,0.1719557961559877,6,2022-09-09
A000080,하이트진로,KOSPI,0.17121472666497287,6,2022-09-09
A007660,이수페타시스,KOSPI,0.1707876233236231,6,2022-09-09
A241590,화승엔터프라이즈,KOSPI,0.1688368907735102,6,2022-09-09
A058650,세아홀딩스,KOSPI,0.16441192429733467,6,2022-09-09
A011170,롯데케미칼,KOSPI,0.16400879867908238,6,2022-09-09
A161390,한국타이어앤테크놀로지,KOSPI,0.1625974846160228,6,2022-09-09
A006800,미래에셋증권,KOSPI,0.16240892722742925,6,2022-09-09
A007540,샘표,KOSPI,0.15981179707105647,6,2022-09-09
A071050,한국금융지주,KOSPI,0.15670649427822808,6,2022-09-09
A114090,GKL,KOSPI,0.15248812094901196,6,2022-09-09
A009460,한창제지,KOSPI,0.1520003907674979,6,2022-09-09
A016590,신대양제지,KOSPI,0.14977450304429843,6,2022-09-09
A282330,BGF리테일,KOSPI,0.14828842476494866,6,2022-09-09
A210540,디와이파워,KOSPI,0.14734844834418817,6,2022-09-09
A034310,NICE,KOSPI,0.14714479295406027,6,2022-09-09
A006370,대구백화점,KOSPI,0.1442791587777094,6,2022-09-09
A002350,넥센타이어,KOSPI,0.14195537278115405,6,2022-09-09
A091090,세원이앤씨,KOSPI,0.14124644565834288,6,2022-09-09
A003680,한성기업,KOSPI,0.1371290145708322,6,2022-09-09
A069960,현대백화점,KOSPI,0.13689539450746824,6,2022-09-09
A001130,대한제분,KOSPI,0.13273478078328838,6,2022-09-09
A008260,NI스틸,KOSPI,0.13245173388996584,6,2022-09-09
A005800,신영와코루,KOSPI,0.13238860579446282,6,2022-09-09
A003490,대한항공,KOSPI,0.13222305468771303,6,2022-09-09
A001270,부국증권,KOSPI,0.12823678861158053,6,2022-09-09
A003010,혜인,KOSPI,0.12566737049619303,6,2022-09-09
A084870,TBH글로벌,KOSPI,0.12563350765330467,6,2022-09-09
A001770,SHD,KOSPI,0.1245299881950993,6,2022-09-09
A000590,CS홀딩스,KOSPI,0.1225981851447914,6,2022-09-09
A004840,DRB동일,KOSPI,0.12099266237794293,6,2022-09-09
A185750,종근당,KOSPI,0.11966862025494371,6,2022-09-09
A000050,경방,KOSPI,0.11844685385447769,6,2022-09-09
A001460,BYC,KOSPI,0.11349267669854604,6,2022-09-09
A018880,한온시스템,KOSPI,0.11306257469645604,6,2022-09-09
A010820,퍼스텍,KOSPI,0.1111389750524561,6,2022-09-09
A009200,무림페이퍼,KOSPI,0.11023448954568783,6,2022-09-09
A021240,코웨이,KOSPI,0.10937119358626843,6,2022-09-09
A003580,HLB글로벌,KOSPI,0.10724201655765053,6,2022-09-09
A079160,CJ CGV,KOSPI,0.10485605700027237,6,2022-09-09
A036420,콘텐트리중앙,KOSPI,0.10384471123437408,6,2022-09-09
A001780,알루코,KOSPI,0.10339157370153203,6,2022-09-09
A010780,아이에스동서,KOSPI,0.10240670979263429,6,2022-09-09
A033780,KT&G,KOSPI,0.10200731048753522,6,2022-09-09
A014440,영보화학,KOSPI,0.10128410629648907,6,2022-09-09
A036530,SNT홀딩스,KOSPI,0.10069213818861834,6,2022-09-09
A195870,해성디에스,KOSPI,0.09744960877001,6,2022-09-09
A007280,한국특강,KOSPI,0.09727566830262804,6,2022-09-09
A105560,KB금융,KOSPI,0.09717445057405824,6,2022-09-09
